01459|LJSpeech|ɹᵻlˈæps wʌz ɹˈæpɪd ænd ɪnˈɛvᵻɾəbəl, sˌoʊ ðætðə lˈæɾɚ stˈeɪt ʌvðə pɹˈɪzən wʌz wˈɜːs ðɐn ðə fˈɜːst.|ɹᵻlˈæps wʌz ɹˈæpɪd ænd ɪnˈɛvᵻɾəbəl, sˌoʊ ðætðə lˈæɾɚ stˈeɪt ʌvðə pɹˈɪzən wʌz wˈɜːs ðɐn ðə fˈɜːst.
01208|LJSpeech|ðə fˈɜːst baɪ dˈeɪli sˈɜːvɪsᵻz, ðə lˈæɾɚ baɪ ðɪ ɐpˈɔɪntmənt ʌv skˈuːlmæstɚz ænd ɪnstɹˈʌkʃən ɪn ɹˈiːdɪŋ ænd ɹˈaɪɾɪŋ.|ðə fˈɜːst baɪ dˈeɪli sˈɜːvɪsᵻz, ðə lˈæɾɚ baɪ ðɪ ɐpˈɔɪntmənt ʌv skˈuːlmæstɚz ænd ɪnstɹˈʌkʃən ɪn ɹˈiːdɪŋ ænd ɹˈaɪɾɪŋ.
00769|LJSpeech|ɔːɹ ðə fˈeɪθfəl dɪstʃˈɑːɹdʒ ʌv sˌʌm pˈɛɾi ˈɑːfɪs, sˈʌtʃ ɐz ɡˈeɪtsmən ɔːɹ kˈæptɪn əvə wˈɔːɹd.|ɔːɹ ðə fˈeɪθfəl dɪstʃˈɑːɹdʒ ʌv sˌʌm pˈɛɾi ˈɑːfɪs, sˈʌtʃ ɐz ɡˈeɪtsmən ɔːɹ kˈæptɪn əvə wˈɔːɹd.
00522|LJSpeech|ˈoʊnli nˈaʊ ænd ɐɡˈɛn, ɪn ɛkstɹˈiːm kˈeɪsᵻz, ɐn ʌnjˈuːʒuːəli nˈæsti kəmpˈæniən wʌz stɹˈɪpt, hˈeɪld tə ðə pˈʌmp,|ˈoʊnli nˈaʊ ænd ɐɡˈɛn, ɪn ɛkstɹˈiːm kˈeɪsᵻz, ɐn ʌnjˈuːʒuːəli nˈæsti kəmpˈæniən wʌz stɹˈɪpt, hˈeɪld tə ðə pˈʌmp,
00794|LJSpeech|"ˈaɪ bᵻlˈiːv," sˈɛz mˈɪstɚ bˈɛnɪt ɪnðə lˈɛɾɚɹ ɔːlɹˌɛdi lˈɑːɹdʒli kwˈoʊɾᵻd,|"ˈaɪ bᵻlˈiːv," sˈɛz mˈɪstɚ bˈɛnɪt ɪnðə lˈɛɾɚɹ ɔːlɹˌɛdi lˈɑːɹdʒli kwˈoʊɾᵻd,
00885|LJSpeech|ðə mˈoʊɾɪvz fɚɹə tɹˈænsiənt ɐmˈɛndmənt wɜː bᵻkˈʌmɪŋ pˈæɹəlˌaɪzd, ænd ðɪ ɪfˈɛkt hæd sˈiːst wɪððə kˈɔːz."|ðə mˈoʊɾɪvz fɚɹə tɹˈænsiənt ɐmˈɛndmənt wɜː bᵻkˈʌmɪŋ pˈæɹəlˌaɪzd, ænd ðɪ ɪfˈɛkt hæd sˈiːst wɪððə kˈɔːz."
00620|LJSpeech|ðɪ ɪnˈɛvᵻɾəbəl kˈɑːnsɪkwəns ʌv sˈʌtʃ ɐ sˌɪtʃuːˈeɪʃən, ðɛɹ mˈɔːɹəlz mˈʌstɐv bˌɪn dᵻstɹˈɔɪd;|ðɪ ɪnˈɛvᵻɾəbəl kˈɑːnsɪkwəns ʌv sˈʌtʃ ɐ sˌɪtʃuːˈeɪʃən, ðɛɹ mˈɔːɹəlz mˈʌstɐv bˌɪn dᵻstɹˈɔɪd;
00336|LJSpeech|fˈoːɹtiːn mˈɛn ænd wˈɪmɪn hˌuː hæd lˈeɪn ðɛɹ tˈɛn, ᵻlˈɛvən, ænd θˈɜːtiːn jˈɪɹz fɔːɹ dˈɛts əvə fjˈuː ʃˈɪlɪŋz,|fˈoːɹtiːn mˈɛn ænd wˈɪmɪn hˌuː hæd lˈeɪn ðɛɹ tˈɛn, ᵻlˈɛvən, ænd θˈɜːtiːn jˈɪɹz fɔːɹ dˈɛts əvə fjˈuː ʃˈɪlɪŋz,
01444|LJSpeech|ˈɪŋɡlənd wʌz ɹˌɛpɹᵻzˈɛntᵻd baɪ mˈɪstɚ kɹˈɔːfɚd, ænd ðə ɹɪzˈʌlt ʌv hɪz ˈɪŋkwɚɹi wʌz ɡˈɪvən tə ðə pˈʌblɪk æz ɐn ɐpˈɛndɪks tə ðə hˈaʊs ʌv kˈɑːmənz ɹᵻpˈoːɹt ˌɔn sˈɛkəndɚɹi pˈʌnɪʃmənts.|ˈɪŋɡlənd wʌz ɹˌɛpɹᵻzˈɛntᵻd baɪ mˈɪstɚ kɹˈɔːfɚd, ænd ðə ɹɪzˈʌlt ʌv hɪz ˈɪŋkwɚɹi wʌz ɡˈɪvən tə ðə pˈʌblɪk æz ɐn ɐpˈɛndɪks tə ðə hˈaʊs ʌv kˈɑːmənz ɹᵻpˈoːɹt ˌɔn sˈɛkəndɚɹi pˈʌnɪʃmənts.
00099|LJSpeech|ænd ðiːz sˈʌmwʌt wˈaɪɚɹi lˈɛɾɚz ɑːɹ sˈuːɾəbəl fɚðə məʃˈiːn pɹˈɑːsɛs, wˌɪtʃ wʊd nˌɑːt dˈuː dʒˈʌstɪs tə lˈɛɾɚz ʌv mˈoːɹ dʒˈɛnɚɹəs dɪzˈaɪn.|ænd ðiːz sˈʌmwʌt wˈaɪɚɹi lˈɛɾɚz ɑːɹ sˈuːɾəbəl fɚðə məʃˈiːn pɹˈɑːsɛs, wˌɪtʃ wʊd nˌɑːt dˈuː dʒˈʌstɪs tə lˈɛɾɚz ʌv mˈoːɹ dʒˈɛnɚɹəs dɪzˈaɪn.
01756|LJSpeech|ˈɔːl klˈæsᵻz ʌvðə kəndˈɛmd, ðoʊz sˈɜːʔn̩ tə sˈʌfɚ, ænd ðə lˈɑːɹdʒɚ nˈʌmbɚ hˌuː wɜː nˌɪɹli sˈɜːʔn̩ əvɚ ɹᵻpɹˈiːv,|ˈɔːl klˈæsᵻz ʌvðə kəndˈɛmd, ðoʊz sˈɜːʔn̩ tə sˈʌfɚ, ænd ðə lˈɑːɹdʒɚ nˈʌmbɚ hˌuː wɜː nˌɪɹli sˈɜːʔn̩ əvɚ ɹᵻpɹˈiːv,
